City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,napili-honokowai,20.9708,-156.6705,19.54,97,75,7.95,US,1738043676
248,shasta lake,40.6804,-122.3708,5.04,59,0,2.9,US,1738043677
249,gadzhiyevo,69.2551,33.3362,-5.43,85,100,4.77,RU,1738043679
250,santa maria,-29.6842,-53.8069,19.67,95,14,1.76,BR,1738043258
251,lauro de freitas,-12.8944,-38.3272,27.01,78,20,4.63,BR,1738043681
252,muli,2.9167,73.5667,26.6,76,100,4.86,MV,1738043682
253,almazan,41.4865,-2.5309,1.32,84,89,8.26,ES,1738043684
254,odienne,9.51,-7.5692,20.56,21,73,2.21,CI,1738043685
255,montalvo,-1.8,-79.3333,23.68,90,95,0.95,EC,1738043686
256,sur,22.5667,59.5289,24.18,41,77,1.23,OM,1738043687
257,antofagasta,-23.65,-70.4,20.6,87,56,1.32,CL,1738043687
258,kavaratti,10.5669,72.642,26.58,62,87,0.81,IN,1738043690
259,porto novo,6.4965,2.6036,26.9,89,36,1.59,BJ,1738043691
260,tucuma,-0.1833,-50.05,23.88,93,78,2.41,BR,1738043692
261,kimbe,-5.5502,150.1429,30.77,64,99,2.51,PG,1738043693
262,hadibu,12.65,54.0333,24.86,73,89,4.14,YE,1738043694
263,yuanping,38.7153,112.7575,-5.21,33,0,0.94,CN,1738043614
264,palikir - national government center,6.9248,158.1611,29.41,70,100,3.09,FM,1738043697
265,slatyne,50.2242,36.1608,1.4,95,1,3.02,UA,1738043698
266,kamakwie,9.5,-12.2333,21.83,89,52,0.29,SL,1738043699
267,svetlyy yar,48.4748,44.781,0.93,87,89,3.4,RU,1738043701
268,abu dhabi,24.4667,54.3667,23.3,74,20,3.6,AE,1738043702
269,rodolfo sanchez taboada,31.7167,-116.5667,10.16,78,1,0.87,MX,1738043703
270,flying fish cove,-10.4217,105.6791,28.82,78,75,4.12,CX,1738043704
271,georgiyevka,43.0369,74.7114,0.02,64,100,2.0,KZ,1738043706
272,bamboo flat,11.7,92.7167,28.32,71,63,6.6,IN,1738043707
273,kyren,51.6828,102.1408,-14.72,84,94,1.01,RU,1738043708
274,cannonvale,-20.2833,148.7,28.66,86,100,5.22,AU,1738043710
275,qaqortoq,60.7167,-46.0333,-8.67,75,100,2.29,GL,1738043711
276,ghat,24.9647,10.1728,11.07,42,0,0.7,LY,1738043712
277,undurkhaan,47.3194,110.6556,-17.08,71,13,1.59,MN,1738043713
278,crucecita,-28.95,-58.9833,24.56,63,0,2.66,AR,1738043714
279,isangel,-19.55,169.2667,27.35,80,100,5.75,VU,1738043716
280,dudinka,69.4058,86.1778,-33.97,99,10,1.98,RU,1738043718
281,goundam,16.4145,-3.6708,18.09,11,25,4.37,ML,1738043719
282,fort mcmurray,56.7268,-111.381,5.77,45,100,7.2,CA,1738043721
283,kapuskasing,49.4169,-82.4331,-19.95,71,75,6.17,CA,1738043722
284,prince albert,53.2001,-105.7677,-0.03,59,75,6.69,CA,1738043723
285,baltinava,56.95,27.65,3.71,92,100,4.66,LV,1738043725
286,blenheim,-41.516,173.9528,21.96,55,32,1.79,NZ,1738043726
287,keflavik,64.0049,-22.5624,-0.76,100,75,4.63,IS,1738043727
288,itoman,26.1247,127.6694,15.61,55,75,8.23,JP,1738043728
289,santa helena,-2.2311,-45.3,22.45,99,87,1.03,BR,1738043729
290,rosario oeste,-14.8361,-56.4275,23.74,91,95,1.13,BR,1738043731
291,inhambane,-23.865,35.3833,26.85,74,100,8.25,MZ,1738043732
292,krasnystaw,50.9846,23.1742,3.26,85,47,3.92,PL,1738043733
293,qamdo,31.1667,97.2333,-0.6,10,90,0.4,CN,1738043734
294,hemsby,52.6971,1.6918,8.13,88,99,10.42,GB,1738043736
295,valuyki,50.2035,38.1067,1.19,92,6,2.9,RU,1738043737
296,vila franca do campo,37.7167,-25.4333,15.23,87,15,3.38,PT,1738043738
297,yermakovskoye,53.2831,92.4003,-8.39,87,100,0.97,RU,1738043739
298,kondopoga,62.2057,34.2614,-0.87,95,100,1.77,RU,1738043740
299,wau,7.7029,27.9953,22.39,19,2,3.53,SS,1738043742
300,newman,37.3138,-121.0208,4.47,52,0,0.84,US,1738043743
301,alice springs,-23.7,133.8833,40.75,13,0,2.57,AU,1738043744
302,smithers,54.7804,-127.1743,-6.82,93,40,0.0,CA,1738043664
303,saudarkrokur,65.7461,-19.6394,-6.57,86,64,2.47,IS,1738043747
304,tolanaro,-25.0319,46.9987,27.04,89,75,5.14,MG,1738043748
305,acapulco de juarez,16.8634,-99.8901,22.67,85,88,0.79,MX,1738043662
306,aykhal,66.0,111.5,-23.01,100,98,2.64,RU,1738043750
307,la passe,45.5549,-0.8967,8.72,89,74,15.44,FR,1738043752
308,kandalaksha,67.162,32.4123,-12.02,99,100,1.99,RU,1738043753
309,puerto baquerizo moreno,-0.9,-89.6,23.71,89,27,2.43,EC,1738043754
310,simenqian,27.4872,110.8861,12.6,27,2,1.89,CN,1738043756
311,zhanaozen,43.3,52.8,0.4,71,7,3.89,KZ,1738043757
312,corner brook,48.9667,-57.9484,-1.11,81,100,6.79,CA,1738043758
313,colombo,6.9319,79.8478,27.97,74,100,1.01,LK,1738043760
314,kununurra,-15.7667,128.7333,36.99,49,99,2.06,AU,1738043761
